"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.442901600E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.945932900E-2,-3.730463982E-2,7.362651825E-2,2.449989319E-2
5.448964100E-2,-3.479146957E-2,8.450889587E-2,-9.278917313E-2
5.950787000E-2,-1.780211926E-2,1.209092140E-1,-2.551622391E-1
6.453818300E-2,1.556348801E-2,1.486554146E-1,-4.023728371E-1
6.956849500E-2,7.752382755E-2,1.129636765E-1,-6.027216911E-1
7.459875600E-2,9.086155891E-2,5.284452438E-2,-9.788289070E-1
7.962906800E-2,1.540112495E-2,1.507377625E-2,-1.279387951E0
8.465938100E-2,-8.665549755E-2,3.942298889E-2,-1.512024879E0
8.969469300E-2,-1.207731962E-1,7.380008698E-2,-1.681708336E0
9.472505800E-2,-1.527799368E-1,-2.941608429E-2,-1.764372826E0
9.975531800E-2,-1.567916870E-1,-9.981203079E-2,-1.821144104E0
1.048092250E-1,-1.920050383E-1,-1.162981987E-1,-1.766428947E0
1.098395370E-1,-2.073835135E-1,-4.750347137E-2,-1.600845814E0
1.148772980E-1,-2.111703157E-1,-6.372928619E-2,-1.480748177E0
1.199076100E-1,-2.485917807E-1,-1.620388031E-2,-1.270582676E0
1.249379230E-1,-2.093933821E-1,3.051471710E-2,-1.035763741E0
1.299682350E-1,-1.242926121E-1,1.990318298E-3,-7.592344284E-1
1.349985480E-1,5.447983742E-3,-5.530118942E-2,-5.355663300E-1
1.403492770E-1,1.578131914E-1,-1.847872734E-1,-4.276909828E-1
1.453795370E-1,2.472209930E-1,-2.777247429E-1,-8.845520020E-2
1.504098500E-1,3.418633938E-1,-3.008213043E-1,2.727470398E-1
1.554401620E-1,3.818579912E-1,-3.882188797E-1,6.134467125E-1
1.604704750E-1,4.501203299E-1,-4.396414757E-1,9.505896568E-1
1.655007870E-1,4.746289253E-1,-4.044771194E-1,1.175875187E0
1.702013600E-1,4.464523792E-1,-3.477025032E-1,1.381733418E0
1.752316730E-1,4.325104952E-1,-2.612695694E-1,1.522954464E0
1.802619850E-1,3.697636127E-1,-1.842947006E-1,1.508780956E0
1.852922450E-1,3.489445448E-1,-1.697134972E-1,1.330462933E0
1.903225580E-1,2.890141010E-1,-1.062579155E-1,1.073338032E0
1.953529230E-1,1.880400181E-1,-8.932113647E-3,6.807370186E-1
2.007068290E-1,5.755591393E-2,8.710241318E-2,2.573065758E-1
2.057371410E-1,-8.647179604E-2,1.739096642E-1,-1.095490456E-1
2.107674020E-1,-2.681035995E-1,2.314996719E-1,-4.252419472E-1
2.157977140E-1,-4.219949245E-1,2.894496918E-1,-6.996526718E-1
2.208280270E-1,-4.987462759E-1,2.903552055E-1,-9.586200714E-1
