"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.502381480E1,2.549437470E1,1.563111638E1,NaN,NaN,7.759999847E1,6.476497173E0
0.000000000E0,6.501999470E1,2.548874880E1,1.353205513E1,NaN,NaN,5.516199875E1,3.626732349E0
3.981706249E0,6.502270145E1,2.549392171E1,1.326777143E-1,9.599999785E-1,2.398999939E2,5.795879841E0,8.492879868E0
4.965590259E0,6.502269246E1,2.549390270E1,5.392567130E0,9.700000286E-1,2.398000031E2,4.162705898E0,5.715352058E0
5.967192863E0,6.502269359E1,2.549390405E1,9.923694761E0,1.029999971E0,2.478999939E2,3.790092468E0,3.951948643E0
6.980861664E0,6.502268306E1,2.549390016E1,1.085710888E1,9.300000072E-1,2.523000031E2,3.790092468E0,3.374266386E0
7.983352706E0,6.502267892E1,2.549388463E1,1.120439917E1,8.999999762E-1,2.511000061E2,3.790092468E0,2.850722790E0
8.976246039E0,6.502267479E1,2.549386858E1,1.007933835E1,1.070000052E0,2.498000031E2,3.790092468E0,2.517631292E0
9.971154788E0,6.502266993E1,2.549385539E1,9.456292174E0,9.700000286E-1,2.491999969E2,3.790092468E0,2.500000000E0
1.097704734E1,6.502266516E1,2.549384056E1,9.230279528E0,1.009999990E0,2.510000000E2,3.790092468E0,2.500000000E0
1.197724224E1,6.502266155E1,2.549382936E1,8.762750639E0,9.300000072E-1,2.538000031E2,3.790092468E0,2.500000000E0
1.298336244E1,6.502265891E1,2.549381750E1,8.526971839E0,1.000000000E0,2.541999969E2,3.790092468E0,2.500000000E0
1.398992125E1,6.502265689E1,2.549380058E1,8.876702668E0,9.700000286E-1,2.508000031E2,3.790092468E0,2.500000000E0
1.498909875E1,6.502265328E1,2.549378232E1,8.817376345E0,9.800000191E-1,2.493999939E2,3.790092468E0,2.500000000E0
1.597694598E1,6.502264843E1,2.549376421E1,8.809442081E0,9.399999976E-1,2.481000061E2,3.790092468E0,2.500000000E0
1.698803947E1,6.502264562E1,2.549374523E1,8.707390805E0,9.599999785E-1,2.535000000E2,3.790092468E0,2.500000000E0
1.797567869E1,6.502264276E1,2.549372826E1,8.569145858E0,1.000000000E0,2.486000061E2,3.790092468E0,2.500000000E0
1.898582171E1,6.502263955E1,2.549371137E1,8.576897137E0,9.800000191E-1,2.511000061E2,3.790092468E0,2.500000000E0
1.998634161E1,6.502263711E1,2.549369647E1,8.467399762E0,9.300000072E-1,2.493000031E2,3.790092468E0,2.500000000E0
2.098297952E1,6.502263456E1,2.549368107E1,8.210868696E0,8.999999762E-1,2.508999939E2,3.790092468E0,2.500000000E0
2.198677280E1,6.502263238E1,2.549366512E1,8.501456594E0,9.200000167E-1,2.553000031E2,3.790092468E0,2.500000000E0
2.298636447E1,6.502263045E1,2.549364606E1,8.491018764E0,9.800000191E-1,2.576000061E2,3.790092468E0,2.500000000E0
2.398256041E1,6.502262858E1,2.549362509E1,8.617238477E0,9.800000191E-1,2.575000000E2,3.790092468E0,2.500000000E0
2.499065676E1,6.502262664E1,2.549360530E1,8.679737606E0,9.700000286E-1,2.548000031E2,3.790092468E0,2.500000000E0
2.598778364E1,6.502262480E1,2.549358480E1,8.508105782E0,9.100000262E-1,2.562000122E2,3.790092468E0,2.500000000E0
2.697275848E1,6.502262358E1,2.549356254E1,8.435045374E0,8.899999857E-1,2.541000061E2,3.790092468E0,2.500000000E0
2.798862645E1,6.502262272E1,2.549353838E1,8.522812323E0,1.009999990E0,2.617000122E2,3.790092468E0,2.500000000E0
2.898082869E1,6.502262067E1,2.549351190E1,8.341536547E0,1.059999943E0,2.578999939E2,3.790092468E0,2.500000000E0
2.998076978E1,6.502261865E1,2.549348804E1,8.483564190E0,9.700000286E-1,2.571000061E2,3.790092468E0,2.500000000E0
3.098061759E1,6.502261807E1,2.549346694E1,8.889812726E0,9.499999881E-1,2.618999939E2,3.790092468E0,2.500000000E0
3.198801811E1,6.502261790E1,2.549344514E1,9.079569360E0,9.300000072E-1,2.623999939E2,3.790092468E0,2.500000000E0
3.298270483E1,6.502261818E1,2.549342404E1,8.695778524E0,9.100000262E-1,2.636000061E2,3.790092468E0,2.500000000E0
3.398499848E1,6.502261692E1,2.549339955E1,8.920996762E0,1.039999962E0,2.558999939E2,3.790092468E0,2.500000000E0
3.498011525E1,6.502261724E1,2.549337816E1,8.803258135E0,9.800000191E-1,2.698999939E2,3.790092468E0,2.500000000E0
3.597050124E1,6.502261738E1,2.549335795E1,9.041598768E0,9.100000262E-1,2.633999939E2,3.790092468E0,2.500000000E0
3.697263447E1,6.502261485E1,2.549333698E1,9.271883660E0,9.900000095E-1,2.548999939E2,3.790092468E0,2.500000000E0
3.798261853E1,6.502261377E1,2.549331651E1,9.266816508E0,9.800000191E-1,2.643999939E2,3.790092468E0,2.500000000E0
3.898476254E1,6.502261380E1,2.549329619E1,9.404815375E0,1.000000000E0,2.708999939E2,3.790092468E0,2.500000000E0
3.998412889E1,6.502261365E1,2.549327329E1,9.342801895E0,9.700000286E-1,2.597000122E2,3.790092468E0,2.500000000E0
4.098177248E1,6.502261335E1,2.549325169E1,9.518276365E0,9.900000095E-1,2.678999939E2,3.790092468E0,2.500000000E0
4.198563275E1,6.502261159E1,2.549323035E1,9.665186928E0,9.700000286E-1,2.556999969E2,3.790092468E0,2.500000000E0
4.298314446E1,6.502260884E1,2.549320931E1,1.004683908E1,9.700000286E-1,2.597000122E2,3.790092468E0,2.500000000E0
4.398510842E1,6.502260694E1,2.549318770E1,1.003951383E1,9.499999881E-1,2.642999878E2,3.790092468E0,2.500000000E0
4.498465826E1,6.502260571E1,2.549316641E1,1.022927089E1,9.800000191E-1,2.650000000E2,3.790092468E0,2.500000000E0
4.598635332E1,6.502260539E1,2.549314574E1,1.024257503E1,9.800000191E-1,2.687999878E2,3.790092468E0,2.500000000E0
4.698729936E1,6.502260553E1,2.549312587E1,1.012599626E1,9.900000095E-1,2.662999878E2,3.790092468E0,2.500000000E0
4.797558056E1,6.502260500E1,2.549310327E1,1.067811868E1,1.039999962E0,2.636000061E2,3.790092468E0,2.500000000E0
4.897741691E1,6.502260480E1,2.549308024E1,1.068177904E1,1.019999981E0,2.652000122E2,3.790092468E0,2.500000000E0
4.998272748E1,6.502260541E1,2.549305697E1,1.081843469E1,9.800000191E-1,2.702000122E2,3.790092468E0,2.500000000E0
5.099506285E1,6.502260558E1,2.549303368E1,1.081037614E1,1.059999943E0,2.680000000E2,3.790092468E0,2.500000000E0
5.198448634E1,6.502260615E1,2.549300887E1,1.077350873E1,1.019999981E0,2.681000061E2,3.790092468E0,2.500000000E0
5.299811139E1,6.502260579E1,2.549298445E1,1.082788925E1,1.009999990E0,2.673999939E2,3.790092468E0,2.500000000E0
5.398449639E1,6.502260495E1,2.549296168E1,1.071027300E1,1.019999981E0,2.656000061E2,3.790092468E0,2.500000000E0
5.498742982E1,6.502260383E1,2.549293991E1,1.066425117E1,1.029999971E0,2.636000061E2,3.790092468E0,2.500000000E0
5.598794831E1,6.502260401E1,2.549291744E1,1.068133917E1,1.039999962E0,2.716000061E2,3.790092468E0,2.500000000E0
5.698809873E1,6.502260505E1,2.549289811E1,1.049145689E1,1.059999943E0,2.736000061E2,3.790092468E0,2.500000000E0
5.798667993E1,6.502260488E1,2.549287628E1,1.058789077E1,1.090000033E0,2.702999878E2,3.790092468E0,2.500000000E0
5.898258727E1,6.502260389E1,2.549285561E1,1.076336556E1,1.039999962E0,2.655000000E2,3.790092468E0,2.500000000E0
5.998765019E1,6.502260315E1,2.549283315E1,1.092168924E1,1.029999971E0,2.668999939E2,3.790092468E0,2.500000000E0
6.098689492E1,6.502260322E1,2.549281015E1,1.090392617E1,1.049999952E0,2.702999878E2,3.790092468E0,2.500000000E0
6.198577190E1,6.502260386E1,2.549278694E1,1.087212478E1,1.039999962E0,2.722999878E2,3.790092468E0,2.500000000E0
6.298889206E1,6.502260417E1,2.549276221E1,1.091167349E1,1.049999952E0,2.707000122E2,3.790092468E0,2.500000000E0
6.397366794E1,6.502260491E1,2.549273829E1,1.085887592E1,1.090000033E0,2.723999939E2,3.790092468E0,2.500000000E0
6.498237612E1,6.502260478E1,2.549271725E1,1.066679666E1,1.029999971E0,2.673999939E2,3.790092468E0,2.500000000E0
6.598630789E1,6.502260478E1,2.549269577E1,1.083769339E1,1.019999981E0,2.702000122E2,3.790092468E0,2.500000000E0
6.697190998E1,6.502260497E1,2.549267505E1,1.054673709E1,1.059999943E0,2.693999939E2,3.790092468E0,2.500000000E0
6.798523612E1,6.502260546E1,2.549265260E1,1.039494070E1,1.049999952E0,2.743999939E2,3.790092468E0,2.500000000E0
6.898721763E1,6.502260648E1,2.549263201E1,1.049125218E1,1.029999971E0,2.762000122E2,3.790092468E0,2.500000000E0
6.998509200E1,6.502260777E1,2.549260815E1,1.058615949E1,1.080000043E0,2.763999939E2,3.790092468E0,2.500000000E0
